b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T16:59:04.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;11.8;36.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:03:04.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;7.5;40.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:09:03.000+02:00;Attic-new1;16.6;22.0;3.9;69.4;4.2;43.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:13:03.000+02:00;Attic-new1;16.6;22.0;3.9;69.4;2.9;45.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:17:03.000+02:00;Attic-new1;16.5;22.0;3.8;69.7;1.5;47.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:23:02.000+02:00;Attic-new1;16.7;22.0;3.9;69.1;0.7;48.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:29:02.000+02:00;Attic-new1;16.8;23.0;3.8;71.9;0.1;50.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:27:02.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;0.1;50.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:33:02.000+02:00;Attic-new1;16.6;23.0;3.7;72.4;-0.2;51.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:39:01.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.4;52.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:37:01.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.4;52.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:43:01.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.6;53.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:49:00.000+02:00;Attic-new1;16.6;23.0;3.7;72.4;-0.6;54.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:47:01.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.6;54.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:53:00.000+02:00;Attic-new1;16.6;23.0;3.7;72.4;-0.7;55.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:59:00.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.7;55.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T17:57:00.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.7;55.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:08:59.000+02:00;Attic-new1;16.6;23.0;3.7;72.4;-0.8;56.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:12:59.000+02:00;Attic-new1;16.4;23.0;3.6;73.0;-0.8;57.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:18:58.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.8;57.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:22:58.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.8;57.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:28:58.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.9;58.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:38:57.000+02:00;Attic-new1;16.3;23.0;3.6;73.3;-0.9;58.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:42:57.000+02:00;Attic-new1;16.4;23.0;3.6;73.0;-0.9;58.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:48:56.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.9;59.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:54:56.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.8;59.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:52:56.000+02:00;Attic-new1;16.6;23.0;3.7;72.4;-0.8;59.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T18:58:56.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.8;59.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:04:55.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.8;59.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:02:55.000+02:00;Attic-new1;16.7;23.0;3.8;72.2;-0.8;59.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:08:55.000+02:00;Attic-new1;16.3;23.0;3.6;73.3;-0.8;61.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:14:55.000+02:00;Attic-new1;16.5;23.0;3.7;72.7;-0.8;60.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:12:55.000+02:00;Attic-new1;16.3;23.0;3.6;73.3;-0.8;60.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:18:54.000+02:00;Attic-new1;16.4;24.0;3.5;75.9;-0.9;60.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:24:54.000+02:00;Attic-new1;16.4;24.0;3.5;75.9;-1.0;61.0
b9c53aee-18e9-4587-b3af-7e72e6d73c5c;2018-02-07T19:22:54.000+02:00;Attic-new1;16.3;24.0;3.4;76.2;-1.0;61.0
