adaptorId; datestamp; temperature; humidity; temperature_corrected; humidity_corrected; temperature_real; humidity_real
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:10:15.000+02:00;26.8;37.0;20.1;47.9;16.7;47
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:15:22.000+02:00;28.7;35.0;20.0;48.9;14.8;50
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:20:30.000+02:00;31.2;33.0;20.0;50.9;13.3;53
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:30:44.000+02:00;33.2;31.0;19.8;54.5;11.3;58
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:35:53.000+02:00;33.8;30.0;19.7;56.5;10.5;60
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:41:00.000+02:00;34.1;29.0;19.7;57.5;9.8;61
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:46:07.000+02:00;34.4;29.0;19.6;59.0;9.3;63
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T19:50:23.000+02:00;34.6;28.0;19.6;59.7;8.9;64
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:00:39.000+02:00;34.7;28.0;19.5;61.2;8.2;66
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:05:47.000+02:00;34.8;27.0;19.5;61.1;8;67
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:10:55.000+02:00;34.6;27.0;19.6;61.3;7.8;68
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:16:02.000+02:00;34.7;27.0;19.6;61.4;7.6;69
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:21:09.000+02:00;34.9;27.0;19.6;61.4;7.4;69
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:26:16.000+02:00;34.9;26.0;19.6;61.4;7.3;70
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:30:33.000+02:00;34.9;26.0;19.6;61.4;7.2;70
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:35:41.000+02:00;34.9;26.0;19.6;61.4;7.1;71
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:40:48.000+02:00;34.9;26.0;19.6;61.4;7;71
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:45:56.000+02:00;34.9;26.0;19.6;61.4;6.9;72
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:51:03.000+02:00;34.9;26.0;19.7;61.6;6.9;72
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T20:56:11.000+02:00;35.0;26.0;19.7;61.5;6.8;72
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:05:35.000+02:00;34.9;25.0;19.7;61.6;6.7;73
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:10:43.000+02:00;34.9;25.0;19.6;61.4;6.7;73
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:15:51.000+02:00;34.9;25.0;19.6;61.4;6.7;73
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:20:59.000+02:00;34.9;25.0;19.6;61.4;6.6;73
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:26:06.000+02:00;34.8;25.0;19.7;61.5;6.6;73
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:36:22.000+02:00;34.9;25.0;19.7;61.5;6.6;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:40:38.000+02:00;34.9;25.0;19.7;61.5;6.6;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:45:46.000+02:00;34.9;25.0;19.7;61.5;6.6;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:50:53.000+02:00;34.8;25.0;19.7;61.5;6.6;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T21:56:01.000+02:00;35.0;25.0;19.7;61.5;6.5;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:06:15.000+02:00;35.0;24.0;19.7;61.6;6.5;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:11:23.000+02:00;33.3;25.0;19.5;62.4;6.5;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:16:30.000+02:00;31.3;25.0;19.5;62.4;6.5;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:20:47.000+02:00;29.4;25.0;19.5;62.4;6.5;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:25:54.000+02:00;27.5;26.0;19.5;62.4;6.5;74
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:36:09.000+02:00;25.6;27.0;19.5;62.4;6.5;75
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:41:17.000+02:00;25.0;28.0;19.5;62.4;6.5;75
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:46:25.000+02:00;24.8;28.0;19.5;62.3;6.5;75
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:51:32.000+02:00;24.4;28.0;19.5;62.2;6.5;75
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T22:55:50.000+02:00;24.2;29.0;19.5;62.2;6.5;75
90520fdd-88f5-4263-9b94-7a1731f623b3;2018-01-11T23:06:05.000+02:00;24.1;29.0;19.5;62.0;6.5;75
